dataset_id,cruise_id_og,cruise_id,date,lon,lat,station_og,station
WS0603_WS0603_WS0603_058,WS0603,WS0603,1/18/2006,-81.65399933,25.16399956,58,58
WS0603_WS0603_WS0603_059,WS0603,WS0603,1/18/2006,-81.48950195,25.16830063,59,59
WS0603_WS0603_WS0603_060,WS0603,WS0603,1/18/2006,-81.33480072,25.16620064,60,60
WS0603_WS0603_WS0603_061,WS0603,WS0603,1/18/2006,-81.27380371,25.16550064,61,61
WS0603_WS0603_WS0603_062,WS0603,WS0603,1/18/2006,-81.2358017,25.16379929,62,62
WS0603_WS0603_WS0603_063,WS0603,WS0603,1/18/2006,-81.1989975,25.16570091,63,63
WS0603_WS0603_WS0603_064,WS0603,WS0603,1/18/2006,-81.15679932,25.16519928,64,64
WS0603_WS0603_WS0603_065,WS0603,WS0603,1/18/2006,-81.09649658,25.09830093,65,65
WS0603_WS0603_WS0603_066,WS0603,WS0603,1/18/2006,-81.10929871,25.0673008,66,66
WS0603_WS0603_WS0603_067,WS0603,WS0603,1/18/2006,-81.12719727,25.0291996,67,67
WS0603_WS0603_WS0603_068,WS0603,WS0603,1/18/2006,-81.16729736,24.92700005,68,68
WS0603_WS0603_WS0603_069,WS0603,WS0603,1/18/2006,-81.09480286,24.92970085,69,69
WS0603_WS0603_WS0603_070,WS0603,WS0603,1/18/2006,-81.02500153,24.93079948,70,70
WS0603_WS0603_WS0603_071,WS0603,WS0603,1/18/2006,-80.96379852,24.92950058,71,71
WS0603_WS0603_WS0603_039,WS0603,WS0603,1/19/2006,-81.48220062,25.78370094,39,39
WS0603_WS0603_WS0603_040,WS0603,WS0603,1/19/2006,-81.52400208,25.75900078,40,40
WS0603_WS0603_WS0603_041,WS0603,WS0603,1/19/2006,-81.57569885,25.73320007,41,41
WS0603_WS0603_WS0603_044,WS0603,WS0603,1/19/2006,-81.66470337,25.58279991,44,44
WS0603_WS0603_WS0603_045,WS0603,WS0603,1/19/2006,-81.47000122,25.58349991,45,45
WS0603_WS0603_WS0603_046,WS0603,WS0603,1/19/2006,-81.40799713,25.58279991,46,46
WS0603_WS0603_WS0603_047,WS0603,WS0603,1/19/2006,-81.36650085,25.58320045,47,47
WS0603_WS0603_WS0603_048,WS0603,WS0603,1/19/2006,-81.33000183,25.58469963,48,48
WS0603_WS0603_WS0603_049,WS0603,WS0603,1/19/2006,-81.29149628,25.58230019,49,49
WS0603_WS0603_WS0603_050,WS0603,WS0603,1/19/2006,-81.35119629,25.45179939,50,50
WS0603_WS0603_WS0603_051,WS0603,WS0603,1/19/2006,-81.3085022,25.45299911,51,51
WS0603_WS0603_WS0603_052,WS0603,WS0603,1/19/2006,-81.25969696,25.45330048,52,52
WS0603_WS0603_WS0603_053,WS0603,WS0603,1/19/2006,-81.22519684,25.45170021,53,53
WS0603_WS0603_WS0603_054,WS0603,WS0603,1/19/2006,-81.15429688,25.34370041,54,54
WS0603_WS0603_WS0603_055,WS0603,WS0603,1/19/2006,-81.19830322,25.34950066,55,55
WS0603_WS0603_WS0603_056,WS0603,WS0603,1/19/2006,-81.22799683,25.34930038,56,56
WS0603_WS0603_WS0603_057,WS0603,WS0603,1/19/2006,-81.26499939,25.34980011,57,57
WS0603_WS0603_WS0603_042,WS0603,WS0603,1/20/2006,-81.72019958,25.65550041,42,42
WS0603_WS0603_WS0603_CAL1,WS0603,WS0603,1/20/2006,-81.96050262,26.42720032,CAL1,CAL1
WS0603_WS0603_WS0603_CAL2,WS0603,WS0603,1/20/2006,-82,26.38349915,CAL2,CAL2
WS0603_WS0603_WS0603_CAL3,WS0603,WS0603,1/20/2006,-82.04350281,26.34219933,CAL3,CAL3
